TAXA,Fe,K,P,Zn,Ca,IP6
SRR5350144,7.278412064,-1190.914218,-129.2869971,5.13187952,NA,-0.0106816
SRR5350145,2.010651726,-866.3139405,29.67442356,5.162399576,85.91155649,0.00388456
SRR5350146,2.31073084,218.1457145,-85.03197149,-3.154648796,270.857264,0.02615976
SRR5350147,-9.270188602,245.1904186,167.2936986,-2.361744686,-167.3657922,-0.0159488
SRR5350148,0.517379783,1275.638566,593.4446354,-1.277378123,-182.0928854,0.00760223
SRR5350149,-9.455234638,535.9236406,433.4072285,-1.885631818,-165.2111075,0.03304214
SRR5350150,-7.341345357,-32.35181307,31.3786975,-1.830150782,-20.56180015,NA
SRR5350151,NA,-178.4638463,-325.368501,0.043862263,-44.59887405,NA
SRR5350152,-5.995628249,-334.2757541,-230.9969569,-0.00417794,70.32600474,-0.0048119
SRR5350153,NA,184.3654138,-115.3809338,0.156082508,NA,-0.0299509
SRR5350154,-6.930799734,406.0881146,-135.9238287,-4.313096771,-242.3351838,NA
SRR5350155,-15.41806768,-386.8489536,90.76670748,NA,-109.390506,0.01975116
SRR5350156,-4.163246225,-232.0604137,-671.2903404,-2.691225267,150.7088302,NA
SRR5350157,0.229490612,-321.8273569,-567.5461931,-0.39726473,308.678153,-0.0107361
SRR5350158,NA,NA,NA,2.06231068,320.9890879,NA
SRR5350159,-6.619868667,-1565.831201,NA,-4.01647795,100.2102895,0.00029723
SRR5350160,-1.045831107,161.3949739,-105.1397006,-0.183822427,-23.68876355,-0.0413326
SRR5350161,4.199389875,243.2193034,-91.88514339,0.5153633,-211.991547,-0.0437217
SRR5350162,-12.1024365,-678.9248862,-384.5917356,-1.881613873,-11.16844039,0.02044772
SRR5350163,9.330174737,-400.3963192,-231.371265,-2.574619695,-87.75370006,0.00203209
SRR5350164,7.343845349,163.9168113,-267.9227037,4.365712173,-175.4679889,-0.0027068
SRR5350165,NA,-423.0450809,-224.9408929,-2.342789214,125.0705688,-0.0100232
SRR5350166,-3.404783997,557.8047423,-121.2621403,-1.713261113,-64.98681185,NA
SRR5350167,NA,NA,NA,NA,-15.37102407,NA
